Municipality,Confirmed Opioid Related Death Count 2001-2005,"Annual Opioid-Related Death Rate per 100,000 People from 2001-2005",Confirmed Opioid Related Death Count 2006-2010,"Annual Opioid-Related Death Rate  per 100,000 People from 2006-2010",Confirmed Opioid Related Death Count 2011-2015,"Annual Opioid-Related Death Rate  per 100,000 People from 2011-2015",latitude,longitude,Lat From Bos,Lon From Bos,Distance From Bos Sum,prescriptions_dispensed_by_us_retailers_in_that_year_millions,Distance from Water,Boston Lat,Boston Lon,Max ,Mion lat,Glou,,,
Brimfield,1,5.9,0,0,1,5.5,42.108585,-72.20448,0.251415,1.54448,1.795895,174,1.51048,,,,,,,,
Brockton,50,10.5,68,13.7,118,25.2,42.079399,-71.03999,0.280601,0.37999,0.660591,184,0.34599,,,,,,,,
Brookfield,2,13.1,0,0,3,17.7,42.19169,-72.105011,0.16831,1.445011,1.613321,196,1.411011,,,,,,,,
Brookline,7,2.5,6,2.1,7,2.4,42.318097,-71.143697,0.041903,0.483697,0.5256,202,0.449697,,,,,,,,
Buckland,0,0,1,10.1,2,21.1,42.573832,-72.769487,0.213832,2.109487,2.323319,210,2.075487,,,,,,,,
Burlington,6,5.2,6,5.1,13,10.6,42.504844,-71.201539,0.144844,0.541539,0.686383,219,0.507539,,,,,,,,
Cambridge,36,7.1,20,3.9,33,6.3,42.380442,-71.132947,0.020442,0.472947,0.493389,217,0.438947,,,,,,,,
Canton,8,7.6,7,6.5,17,15.8,42.179146,-71.121185,0.180854,0.461185,0.642039,207,0.427185,,,,,,,,
Carlisle,2,8.4,1,4.1,0,0,42.446396,-71.459405,0.086396,0.799405,0.885801,196,0.765405,,,,,,,,
Carver,5,8.9,5,8.7,20,34.8,41.896238,-70.759689,0.463762,0.099689,0.563451,116,0.065689,,,,,,,,
Charlemont,0,0,1,14.7,0,0,42.594252,-72.665507,0.234252,2.005507,2.239759,126,1.971507,,,,,,,,
Charlton,2,3.5,7,11.2,5,7.7,42.13277,-71.972627,0.22723,1.312627,1.539857,138,1.278627,,,,,,,,
Chatham,1,3,3,9,2,6.5,41.859559,-70.0468,0.500441,0.6132,1.113641,142,0,,,,,,,,
Chelmsford,2,1.2,9,5.3,14,8.3,42.446396,-71.459405,0.086396,0.799405,0.885801,149,0.765405,,,,,,,,
Chelsea,33,18.9,22,12.8,39,22.2,42.378197,-71.038894,0.018197,0.378894,0.397091,155,0.344894,,,,,,,,
Cheshire,0,0,0,0,0,0,42.482125,-73.127483,0.122125,2.467483,2.589608,163,2.433483,,,,,,,,
Chester,0,0,0,0,0,0,42.294259,-72.952776,0.065741,2.292776,2.358517,174,2.258776,,,,,,,,
Chesterfield,0,0,1,15.9,0,0,42.161492,-72.667341,0.198508,2.007341,2.205849,196,1.973341,,,,,,,,
Chicopee,28,10.2,34,12.4,48,17.4,42.392274,-72.825607,0.032274,2.165607,2.197881,184,2.131607,,,,,,,,
Chilmark,0,0,0,0,1,23.1,41.379034,-70.673082,0.980966,0.013082,0.994048,202,0,,,,,,,,
Clinton,4,5.9,10,14.4,18,26.5,42.413972,-71.687523,0.053972,1.027523,1.081495,210,0.993523,,,,,0,0,,
Cohasset,2,5.5,2,5.5,3,8,42.233938,-70.815826,0.126062,0.155826,0.281888,219,0.121826,,,,,,,,
Colrain,0,0,0,0,0,0,42.681539,-72.822986,0.321539,2.162986,2.484525,217,2.128986,,,,,,,,
Concord,2,2.4,3,3.5,1,1.1,42.446396,-71.459405,0.086396,0.799405,0.885801,207,0.765405,,,,,,,,
Conway,0,0,0,0,0,0,42.590824,-72.70976,0.230824,2.04976,2.280584,196,2.01576,,,,,,,,
Cummington,2,N/A,0,0,0,0,42.428617,-72.909841,0.068617,2.249841,2.318458,116,2.215841,,-71.05,,,,,,
Dalton,0,0,1,3,2,5.9,42.470296,-73.08895,0.110296,2.42895,2.539246,126,2.39495,,,,,,,,
Danvers,10,7.9,10,7.7,21,15.9,42.577188,-70.949245,0.217188,0.289245,0.506433,138,0.255245,,,,,,,,
Dartmouth,16,10.4,12,7.5,18,10.6,41.756214,-71.067062,0.603786,0.407062,1.010848,142,0.373062,,,,,,,,
Dedham,7,6,16,13.4,14,11.3,42.244733,-71.181141,0.115267,0.521141,0.636408,149,0.487141,,,,,,,,
Deerfield,0,0,0,0,1,3.9,42.54723,-72.607679,0.18723,1.947679,2.134909,155,1.913679,,,,,,,,
Dennis,9,11.3,14,18,16,22.5,41.725716,-70.089142,0.634284,0.570858,1.205142,163,0,,,,,,,,
Dighton,1,3.2,2,5.9,1,2.8,41.817659,-71.151787,0.542341,0.491787,1.034128,174,0.457787,,,,,,,,
Douglas,4,11.1,2,5,5,11.8,42.113076,-71.891139,0.246924,1.231139,1.478063,184,1.197139,,,,,,,,
Dover,0,0,0,0,0,0,42.236114,-71.283072,0.123886,0.623072,0.746958,196,0.589072,,,,,,,,
Dracut,9,6.3,15,10.4,25,17,42.446396,-71.459405,0.086396,0.799405,0.885801,202,0.765405,,,,,,,,
Dudley,2,3.9,5,9.2,6,10.5,42.059189,-71.937037,0.300811,1.277037,1.577848,210,1.243037,,,,,,,,
Dunstable,0,0,2,12.7,2,12.6,42.446396,-71.459405,0.086396,0.799405,0.885801,219,0.765405,,,,,,,,
Duxbury,1,1.4,2,2.7,6,8,41.970474,-70.701357,0.389526,0.041357,0.430883,217,0.007357,,,,,,,,
East Bridgewater,5,7.6,9,13,8,11.6,42.02285,-70.931056,0.33715,0.271056,0.608206,207,0.237056,,,,,,,,
East Brookfield,0,0,1,9.4,0,0,42.205311,-72.049907,0.154689,1.389907,1.544596,196,1.355907,,,,,,,,
East Longmeadow,7,9.8,4,5.3,13,16.5,42.062009,-72.49874,0.297991,1.83874,2.136731,116,1.80474,,,,,,,,
Eastham,0,0,2,7.4,9,36.3,41.850612,-70.020648,0.509388,0.639352,1.14874,126,0,,,,,,,,
Easthampton,7,8.8,11,13.7,12,15,42.368303,-72.768839,0.008303,2.108839,2.117142,138,2.074839,,,,,,,,
Easton,4,3.6,2,1.7,16,13.8,42.023528,-71.132397,0.336472,0.472397,0.808869,142,0.438397,,,,,,,,
Edgartown,2,10.5,0,0,0,0,41.401176,-70.552054,0.958824,0.107946,1.06677,149,0,,,,,,,,
Erving,0,0,1,12.6,1,11.1,42.627072,-72.553654,0.267072,1.893654,2.160726,155,1.859654,,,,,,,,
